peri-appendicular red patches
    SymPathy                                                           2007-11-14 14:18:35
    Diagnoskoder                                                       Antal rader: 1673
    Snomedkod     Benämning
    80416         SMÅCELLIG CA, METASTAS
    85207         recidiv av lobulär ca
    D0000         D0000
    D0110         BAKT INF UNS (SEPSIS)
    D0111         AKTINOMYKOS
    D0131         GONORRÉ
    D0134         LEPRA
    D0137         LISTERIOS
    D0143         WAT-FRID'S SYND
    D0145         MYCOBAKT INF UNS
    D0153         NOCARDIOS
    D0166         YERSINIA INF
    D0182         SYFILIS
    D0188         TUBERKULOS
    D0197         SPIROCHETOS
    D0350         VIRUSINF UNS
    D0378         CYTOMEGALVIRUS INF
    D0403         HERPESVIRUS INF
    D0410         MONONUCLEOS
    D0430         MÄSSLING
    D0433         INFEKTIÖS PAROTIT
    D0454         PROGRESS MULTIFOC LEUKO ENC P
    D0477         SLOW VIRUS SJD
    D0484         CREUTZFELDT-JACOBS SJUKDOM
    D0492         VACCINIA
    D0520         VIRUSHEPATIT
    D05204        KRONISK AKTIV HEPATIT
    D05205        KRONISK PERSISTERANDE HEPATIT
    D05220        HEPATIT B VIRUS
    D05240        HEPATIT C VIRUS
    D0550         SVAMPINF UNS
    D0552         ASPERGILLOS
    D0557         CANDIDIASIS
    D0650         PARASITSJD UNS
    D0683         ECHINOCOCCOSIS
    D0707         MASKINF UNS
    D0734         LÖSS
    D0736         PNEUMOCYSTOSIS
    D0741         SKABB
    D0743         SCHISTOSOMIASIS
    D0757         TOXOPLASMOS
    D0760         TRICHOMONASINF
    D0804         MORBUS BEHCET
    D0821         GUILLAIN BARRÉ
    D0828         SARCOIDOS
    D0840         WHIPPLES SJD
    D1000         METABOLISK SJD UNS
    D1001         INBORN ERROR OF METAB
    D1005         INLAGRINGSSJD UNS
    D1010         NUTRITIONELL SJD UNS
    D1060         ENZYMRUBBNING UNS
    D1070         ALFA 1 ANTITRYPSINBRIST
    D10700        ALFA-1 ANTITRYPSIN-BRIST
    D1192         HEMOCHROMATOS
    D11920        HEMOKROMATOS
    D1201         GIKT
    D1250         SJD KOLHYDRATMETAB
    D1251         GLYKOGENOS UNS
    D1350         SJD FETTMETAB
    D1400         LIPOIDOS
    D1401         XANTOMATOS
    D1430         GAUCHER'S DISEASE, NOS
    D1471         NEURONAL CEROID LIPOFUSCINOS
    D1500         SJD BILIRUBINMETAB
    D1600         SJD AMINOSYREMETAB
    D1800         VITAMIN BET SJD
    D2000         ENDOKRINOPATHI UNS
    D2040         NEUROENDOKRIN RUBBN
    D2101         DIABETES INSIPIDUS
    D2131         HYPOPITUITARISM
    D2140         HYPERPITUITARISM
    D2146         DYSTR ADIP GENITAL
    D2147         NELSONS SYNDROM
    D2190         HYPERTHYROIDISM
    D2193         TOXISK DIFFUS STRUMA - BASEDOW
    D2194         TOXISK NODULÄR STRUMA - PLUMMER
    D2200         HYPOTHYROIDISM
    D2201         MYXÖDEM
    D2220         CRETINISM
    D2261         HYPERPARATHYR
    D2262         HYPERPARATHYR PRIMÄR
    D2264         HYPERPARATHYR SEKUNDÄR
    D2270         HYPOPARATHYR
    D2272         PSEUDOHYPOPARATHYR
    D2302         HYPERADRENOCORT - CUSHING
    D2303         HYPERADRENOCORT MIXED
    D2305         ADRENOGENIT SYND FÖRV
    D2306         ADRNOGENIT SYND KONG
    D2311         PRIMÄR ALDOSTERIN - CONN
    D2331         ADRENOCORT INSUFF AKUT
    D2332         ADRENOCORT INSUFF KRON
    D2381         DIABETES MELLITUS
    D2501         GRAVIDITETSTOXICOS
    D2534         HERPES GESTATIONES
    D2601         STEIN-LEV SYND
    D2682         SERTOLI ONLY SYND
    D2901         MEN UNS
    D2902         MEN SYND I
    D2903         MEN SYND II A
    D2904         MEN SYND II B
    D2930         APUD CELL ENDOK SYND
    D2933         INSULINOMA SYND
    D2934         GLUCAGONOMA SYND
    D2939         ZOLL-ELLIS SYND
    D2940         VERNER-MORR SYND
    D2944         CARCINOID SYND
    D3070         REUMATOID SJD UNS
    D3074         POLYMYALGIA RHEUM
    D3076         FELTY'S SYNDROM
    D3151         OSTEOARTHROS UNS
    D3202         BEKHTEREV
    D3455         TIETZE'S SYND
    D3540         URTICARIA UNS
    D3560         URTICARIA PIGMENTOSA
    D3610         PEMFIGUS UNS
    D3615         PYODERMA VEGETANS
    D3617         HAILEY - HAILEY
    D3618         PEMFIGOID
    D3619         DH
    D3622         TRANSIENT ACANT. DIS.
